Column1,Column2,Column3,Column4,Column6
ASM00095997,-530170,734000,40,HEARD ISLAND (ATLAS COVE)     
ASN00001000,-162919,1271956,3200,KARUNJIE                      
ASN00001001,-151806,1278456,20,OOMBULGURRI                   
ASN00001003,-141331,1267158,50,PAGO MISSION                  
ASN00001004,-154167,1247167,470,KUNMUNYA                      
ASN00001005,-154644,1281000,200,WYNDHAM PORT                  
ASN00001006,-155100,1281503,38,WYNDHAM AERO                  
ASN00001007,-137542,1261485,60,TROUGHTON ISLAND              
ASN00001008,-163017,1261825,6400,MOUNT ELIZABETH OLD SITE      
ASN00001009,-154875,1245222,120,KURI BAY                      
ASN00001010,-147883,1264964,2100,THEDA                         
ASN00001011,-160497,1249500,-9999,PANTA DOWNS                   
ASN00001012,-147925,1258258,3150,MITCHELL PLATEAU              
ASN00001013,-154872,1281247,110,WYNDHAM                       
ASN00001014,-159078,1281289,1300,EMMA GORGE                    
ASN00001016,-144861,1267664,590,CARSON RIVER STATION          
ASN00001017,-155000,1278333,-9999,NULLA NULLA                   
ASN00001018,-164181,1261025,5460,MOUNT ELIZABETH               
ASN00001019,-142964,1266453,230,KALUMBURU                     
ASN00001020,-140900,1263867,510,TRUSCOTT                      
ASN00001021,-142961,1266431,230,KALUMBURU MISSION             
ASN00001022,-154997,1281997,-9999,WYNDHAM SIX MILE HOTEL        
ASN00001023,-160086,1279806,900,EL QUESTRO                    
ASN00001024,-159572,1270628,3000,ELLENBRAE                     
ASN00001025,-153797,1263114,3850,DOONGAN                       
ASN00001026,-157025,1263786,3700,DRYSDALE RIVER STATION        
ASN00001027,-156394,1280803,140,DIGGERS REST                  
ASN00001028,-157231,1278297,100,HOME VALLEY                   
ASN00001030,-145786,1259133,30,KIMBERLEY COASTAL CAMP        
ASN00001031,-139600,1271964,600,FARAWAY BAY                   
ASN00001032,-141472,1266483,60,MCGOWAN ISLAND                
ASN00001035,-155969,1282781,200,PARRY CREEK FARM              
ASN00002000,-177569,1279386,3630,ALICE DOWNS                   
ASN00002001,-165039,1289172,1200,ARGYLE DOWNS                  
ASN00002002,-188833,1262333,-9999,BOHEMIA DOWNS                 
ASN00002003,-168700,1281836,1940,BOW RIVER                     
ASN00002004,-165833,1283667,-9999,GLEN HILL                     
ASN00002005,-154864,1285344,200,CARLTON HILL                  
ASN00002006,-155000,1282500,-9999,ASCOT                         
ASN00002007,-163167,1282500,-9999,DUNHAM RIVER STATION          
ASN00002008,-183167,1280000,-9999,FLORA VALLEY OLD              
ASN00002009,-164203,1264411,4880,GIBB RIVER                    
ASN00002010,-187506,1285842,3540,GORDON DOWNS                  
ASN00002011,-182519,1277817,3600,OLD HALLS CREEK               
ASN00002012,-182292,1276636,4220,HALLS CREEK AIRPORT           
ASN00002013,-156900,1286833,400,IVANHOE STATION               
ASN00002014,-156547,1287092,310,KIMBERLEY RES.STATION         
ASN00002015,-184086,1273547,4000,LAMBOO                        
ASN00002016,-166742,1285533,1200,LISSADELL                     
ASN00002017,-187106,1267111,2480,LOUISA DOWNS                  
ASN00002018,-171792,1281217,2540,MABEL DOWNS                   
ASN00002019,-186253,1268617,2800,MARGARET RIVER STATION        
ASN00002020,-181894,1275011,4300,MOOLA BULLA                   
ASN00002021,-183869,1269892,3000,MOUNT AMHURST                 
ASN00002022,-180160,1263033,1800,MOUNT WINIFRED                
ASN00002023,-180308,1288942,3800,NICHOLSON                     
ASN00002024,-174000,1288500,-9999,ORD RIVER                     
ASN00002025,-183667,1275667,-9999,ROCKHOLE DOWNS                
ASN00002026,-185958,1276419,4500,RUBY PLAINS                   
ASN00002027,-163500,1280333,-9999,SPEEWA STATION                
ASN00002028,-168181,1288656,1800,SPRING CREEK                  
ASN00002029,-191625,1281633,4000,STURT CREEK                   
ASN00002030,-172964,1269150,4500,YULMBU                        
ASN00002031,-170103,1284669,2500,TEXAS DOWNS                   
ASN00002032,-170156,1282175,2030,WARMUN                        
